,user,movie,rating,predicted_rating,CBF
0,1,31,2.5,2.352222012172668,-1
1,1,1029,3.0,2.828399861944188,-1
2,1,1061,3.0,2.7709040633459376,-1
3,1,1129,2.0,2.370627925231053,-1
4,1,1172,4.0,3.4330370610241863,-1
5,1,1263,2.0,2.943068619680419,-1
6,1,1287,2.0,2.7916916409422607,-1
7,1,1293,2.0,3.0107842425153515,-1
8,1,1339,3.5,2.9139412505138766,-1
9,1,1343,2.0,2.771361283734665,-1
10,1,1371,2.5,2.3690576119674445,-1
11,1,1405,1.0,1.9937043938186525,-1
12,1,1953,4.0,3.3381336856576818,363
13,1,2105,4.0,2.7414511918354947,-1
14,1,2150,3.0,2.675626351828157,105
15,1,2193,2.0,2.292973595173053,-1
16,1,2294,2.0,2.285466624243492,-1
17,1,2455,2.5,2.407602864520623,-1
18,1,2968,1.0,2.308616890001273,-1
19,1,3671,3.0,3.090269734590493,-1
20,2,10,4.0,3.537677044314491,2709
21,2,17,5.0,4.163694573220113,2716
22,2,39,5.0,3.7637523903875425,2738
23,2,47,4.0,3.939652041434326,2746
24,2,50,4.0,4.215815187244321,2749
25,2,52,3.0,3.302179386566564,-1
26,2,62,3.0,3.7621534910358263,-1
27,2,110,4.0,3.7993982300780536,1270
28,2,144,3.0,3.13571991402032,-1
29,2,150,5.0,4.024928556583231,552
30,2,153,4.0,2.922398314700428,-1
31,2,161,3.0,3.485742613092776,888
32,2,165,3.0,3.327723650534109,252
33,2,168,3.0,3.0082203904648037,-1
34,2,185,3.0,3.041026208975135,-1
35,2,186,3.0,2.589011394362333,-1
36,2,208,3.0,2.866712388359258,-1
37,2,222,5.0,4.073941484669764,1299
38,2,223,1.0,3.4252548538234437,1723
39,2,225,3.0,3.2170646534780976,-1
40,2,235,3.0,3.6014060438586735,436
41,2,248,3.0,2.8969048906058084,-1
42,2,253,4.0,3.6625719865469124,-1
43,2,261,4.0,3.5939059961488082,-1
44,2,265,5.0,3.991707092220349,-1
45,2,266,5.0,3.656092958139898,-1
46,2,272,3.0,3.7448284686145756,-1
47,2,273,4.0,3.3099758586161436,-1
48,2,292,3.0,3.5017774543358504,3787
49,2,296,4.0,3.92524294795106,-1
50,2,300,3.0,3.332189816070902,-1
51,2,314,4.0,3.8277908309905215,-1
52,2,317,2.0,2.5504698497395424,-1
53,2,319,1.0,3.0102379549241554,-1
54,2,339,3.0,3.073653743681049,941
55,2,349,4.0,3.9165877079364293,-1
56,2,350,4.0,3.313486752472326,31
57,2,356,3.0,3.5736034178596756,-1
58,2,357,3.0,3.7427300208990646,2301
59,2,364,3.0,3.766233404649524,-1
60,2,367,3.0,2.971765928468608,531
61,2,370,2.0,2.9963116442040665,2008
62,2,371,3.0,3.0987729517208167,-1
63,2,372,3.0,2.9516905144401866,-1
64,2,377,3.0,3.5094383650601806,1846
65,2,382,3.0,2.8990999165650932,-1
66,2,405,2.0,2.3914669930214267,2427
67,2,410,3.0,2.894877025856326,-1
68,2,454,4.0,3.5474259101511754,2142
69,2,457,3.0,3.765030726315132,-1
70,2,468,4.0,3.308632058778227,-1
71,2,474,2.0,3.4401953214809518,-1
72,2,480,4.0,3.7854590426434367,-1
73,2,485,3.0,2.733982638596882,-1
74,2,497,3.0,3.911164556570178,-1
75,2,500,4.0,3.4903395206504535,-1
76,2,508,4.0,3.7436799545823174,237
77,2,509,4.0,4.048621743247244,2013
78,2,515,4.0,3.8529444436523916,-1
79,2,527,4.0,4.190245396944135,-1
80,2,537,4.0,3.6509421273223785,989
81,2,539,3.0,3.3218989256508986,2936
82,2,550,3.0,3.3290988662945766,643
83,2,551,5.0,4.267262721395092,532
84,2,552,3.0,3.2551972601359376,-1
85,2,585,5.0,3.7926128628417564,-1
86,2,586,3.0,2.9169695204129784,-1
87,2,587,3.0,3.165793394751553,3152
